,info,infoHeilights,course,yearlyPkgAvg,rank,cutoff
"Lovely Professional University, Phagwara","Lovely Professional University Phagwara was established in the year 2005. The University is recognised by the University Grants Commission (UGC) and Bar Council of India (BCI). The University is established under the Ministry of Human Resource Development (MHRD), Government of India. LPU Phagwara offers more than 200 undergraduate, postgraduate and doctoral programmes.",,"{'B.Arch': {'duration': '5 Years', 'fees': '10.05 Lakhs'}, 'B.Com LLB Hons': {'duration': '5 Years', 'fees': '10.05 Lakhs'}, 'BA LLB Hons': {'duration': '5 Years', 'fees': '10.05 Lakhs'}, 'BBA LLB Hons': {'duration': '5 Years', 'fees': '10.05 Lakhs'}, 'LLB': {'duration': '3 Years', 'fees': '4.83 Lakhs'}, 'M.Arch Executive': {'duration': '3 Years', 'fees': '4.23 Lakhs'}, 'M.Pharma Pharmaceutical Analysis': {'duration': '2 Years', 'fees': '4.02 Lakhs'}, 'M.Pharma Pharmaceutics': {'duration': '2 Years', 'fees': '4.02 Lakhs'}, 'M.Pharma Pharmacology': {'duration': '2 Years', 'fees': '4.02 Lakhs'}, 'M.Pharma Quality Assurance': {'duration': '2 Years', 'fees': '4.02 Lakhs'}, 'B.Com': {'duration': '3 Years', 'fees': '3.63 Lakhs'}, 'B.Com and MBA Integrated': {'duration': '4 Years', 'fees': '5.64 Lakhs'}, 'B.Com Hons': {'duration': '3 Years', 'fees': '4.23 Lakhs'}, 'B.Com Hons and MBA Dual Degree': {'duration': '5 Years', 'fees': '7.05 Lakhs'}, 'B.Com Lateral Entry': {'duration': '2 Years', 'fees': '2.42 Lakhs'}, 'B.Com Management Accounting and International Finance': {'duration': '3 Years', 'fees': '4.83 Lakhs'}, 'B.Des Fashion': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Fashion Lateral Entry': {'duration': '3 Years', 'fees': '6.03 Lakhs'}, 'B.Des Film and TV Production': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Gaming': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Graphics': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Interior and Furniture': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Interior and Furniture Lateral Entry': {'duration': '3 Years', 'fees': '6.03 Lakhs'}, 'B.Des Multimedia': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Product and Industrial': {'duration': '4 Years', 'fees': '8.04 Lakhs'}, 'B.Des Product and Industrial Lateral Entry': {'duration': '3 Years', 'fees': '6.03 Lakhs'}, 'B.Ed': {'duration': '2 Years', 'fees': '1.62 Lakhs'}, 'B.Ed and M.Ed Integrated': {'duration': '3 Years', 'fees': '2.43 Lakhs'}}","{'averagePackage': {'B.Pharma': {'2019': '241000', '2018': '237000', '2017': '213000'}, 'M.Pharma': {'2019': '292692', '2018': '280000', '2017': '264000'}, 'B.E /B.Tech': {'2019': '360000', '2018': '300000'}, 'M.E /M.Tech.': {'2019': '300000', '2018': '260000'}}, 'topRecruiters': {0: 'Microsoft', 1: 'Amazon', 2: 'Infosys', 3: 'IBM', 4: 'Hewlett Packard', 5: 'Artech Infosystems', 6: 'Virtusa', 7: 'TCS', 8: 'Adobe Systems India Private Limited', 9: 'Trident Group', 10: 'Federal Bank', 11: 'HGS', 12: 'Zebronics', 13: 'Micro Labs Limited', 14: 'Paytm', 15: 'Oracle', 16: 'Air Vistara', 17: 'HDFC Bank', 18: 'OYO Rooms', 19: 'Capgemini', 20: 'Colgate Palmolive India', 21: 'Virtusa', 22: 'DELL', 23: 'Autodesk', 24: 'Bosch', 25: 'Intel', 26: 'Flipkart', 27: 'Wipro Limited'}}","{'Pharmacy  Explore: Top Pharmacy Colleges in India 2020': '29th', 'Overall': '99th', 'Engineering  Explore: Top Engineering Colleges in India 2020': '87th', 'Universities  Explore: Top Universities in India 2020': '78th', 'MBA': '49th'}",
"Bennett University, Greater Noida","Bennett University (BU), Greater Noida was established in the year 2016 with the support of The Times of India Group. Bu is an autonomous private institute. The campus is spread over 68 acres of land. Bennette University is established under the Uttar Pradesh Act, 2016 (U.P. Act No. 24 of 2016). Bennette University courses include undergraduate, postgraduate, integrated and doctoral courses in various domains.",,"{'B.Tech Computer Science and Engineering': {'duration': '4 Years', 'fees': '15.49 Lakhs'}, 'BA Journalism and Mass Communication English': {'duration': '3 Years', 'fees': '10.08 Lakhs'}, 'BBA': {'duration': '3 Years', 'fees': '8.73 Lakhs'}, 'BA LLB Hons': {'duration': '5 Years', 'fees': '16.75 Lakhs'}, 'BBA LLB Hons': {'duration': '5 Years', 'fees': '16.75 Lakhs'}, 'B.Tech Electronics and Communication Engineering': {'duration': '4 Years', 'fees': '15.49 Lakhs'}, 'MBA': {'duration': '2 Years', 'fees': '14.97 Lakhs'}, 'B.Tech Mechanical Engineering': {'duration': '4 Years', 'fees': '15.49 Lakhs'}, 'PG Diploma in Digital Journalism': {'duration': None, 'fees': '4.31 Lakhs'}, 'BA Journalism and Mass Communication Hindi': {'duration': '3 Years', 'fees': '8.73 Lakhs'}, 'LLB Hons': {'duration': '3 Years', 'fees': '10.23 Lakhs'}, 'B.Tech Biotechnology Engineering': {'duration': '4 Years', 'fees': '15.49 Lakhs'}, 'B.Tech Engineering Physics': {'duration': '4 Years', 'fees': '15.49 Lakhs'}, 'PG Diploma in Advertising and Marketing': {'duration': None, 'fees': '4.31 Lakhs'}, 'PG Diploma in Business Journalism': {'duration': None, 'fees': '4.31 Lakhs'}, 'Ph.D Biotechnology': {'duration': '6 Years', 'fees': None}, 'Ph.D Computer Science and Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Electronics and Communication Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Mathematics': {'duration': '6 Years', 'fees': None}, 'Ph.D Mechanical Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Physics': {'duration': '6 Years', 'fees': None}, 'Ph.D Chemistry': {'duration': '6 Years', 'fees': None}, 'Ph.D Civil Engineering': {'duration': '6 Years', 'fees': None}, 'BA Liberal Arts': {'duration': '3 Years', 'fees': '14.55 Lakhs'}, 'BCA': {'duration': '3 Years', 'fees': '5.55 Lakhs'}, 'BCA Hons': {'duration': '3 Years', 'fees': '6.05 Lakhs'}, 'MBA Banking, Financial Services and Insurance': {'duration': '2 Years', 'fees': '8.02 Lakhs'}, 'Ph.D Law': {'duration': '6 Years', 'fees': None}, 'Ph.D Media': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Wilson College, Mumbai","Wilson College was established in the year 1832 by the Indian missionary Rev. John Wilson. Firstly, it started functioning as Ambroli English School in Girgaum, Mumbai and later on it was called the Wilson School and then in the year 1836, it was called as Wilson College. The management of the College came under an autonomous Board of Governors in India in the year 1952. The institution is affiliated to the University of Mumbai. Wilson College offers undergraduate and postgraduate programmes to the students.",,"{'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Sc Information Technology': {'duration': '3 Years', 'fees': None}, 'BA': {'duration': '3 Years', 'fees': None}, 'Bachelor in Accounting and Finance': {'duration': '3 Years', 'fees': None}, 'BMM': {'duration': '3 Years', 'fees': None}, 'BMS': {'duration': '3 Years', 'fees': None}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': None}, 'Ph.D Chemistry': {'duration': '6 Years', 'fees': None}, 'Ph.D Education': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {0: 'Personality Development Programme', 1: 'Group Discussion Practice', 2: 'Placement Week', 3: 'Communication Skills Programme', 4: 'Mock Interview Sessions', 5: 'Deloitte', 6: 'Capgemini', 7: 'LTI', 8: 'Infosys', 9: 'TCS'}}",{},
"Ramnarain Ruia College, Mumbai","Ramnarain Ruia College, Mumbai was established by the by the Shikshana Prasaraka Mandali, Pune in the year 1937. The institute is also known as Ruia College Mumbai. The college has been recognised as DDU Kaushal Kendra and is the only college in Mumbai that enjoys this privilege. The institution is the first institute to be run by a private management educational body. Ruia College Mumbai is a constituent college of University of Mumbai. The institute has been recognised by University Grants Commission (UGC) and is College with Potential for Excellence (CPE). Ramnarain Ruia College, Mumbai offers undergraduate, postgraduate and doctoral programmes to the students.",,"{'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Sc Biochemistry Self Financed': {'duration': '3 Years', 'fees': None}, 'B.Sc Biotechnology Self Financed': {'duration': '3 Years', 'fees': None}, 'B.Sc Computer Science Self Financed': {'duration': '3 Years', 'fees': None}, 'B.Sc M.Sc Bioanalytical Sciences Integrated': {'duration': '5 Years', 'fees': None}, 'BA': {'duration': '3 Years', 'fees': None}, 'BMM': {'duration': '3 Years', 'fees': '56.10 K'}, 'M.Sc Bioanalytical Science': {'duration': '2 Years', 'fees': None}, 'M.Sc Biochemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc Biotechnology': {'duration': '2 Years', 'fees': None}, 'M.Sc Botany': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Bioanalytical Science': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Botany': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Chemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Life Science': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Microbiology': {'duration': '2 Years', 'fees': None}, 'M.Sc by Research Zoology': {'duration': '2 Years', 'fees': None}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc Computer Science': {'duration': '2 Years', 'fees': None}, 'M.Sc Information Technology': {'duration': '2 Years', 'fees': None}, 'M.Sc Life Science': {'duration': '2 Years', 'fees': None}, 'M.Sc Microbiology': {'duration': '2 Years', 'fees': None}, 'M.Sc Physics': {'duration': '2 Years', 'fees': None}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': None}, 'Ph.D Applied Biology': {'duration': '6 Years', 'fees': None}, 'Ph.D Bioanalytical Science': {'duration': '6 Years', 'fees': None}, 'Ph.D Biotechnology': {'duration': '6 Years', 'fees': None}, 'Ph.D Botany': {'duration': '6 Years', 'fees': None}, 'Ph.D Chemistry': {'duration': '6 Years', 'fees': None}, 'Ph.D English': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {'B.A.': {'2019': '250000', '2018': '163000'}, 'M.Sc.': {'2019': '300000', '2018': '262500'}}, 'topRecruiters': {}}",{},
"Don Bosco College, Mumbai",None,,"{'B.Sc Hospitality Studies': {'duration': '3 Years', 'fees': None}, 'BMS': {'duration': '3 Years', 'fees': None}, 'Bachelor of Mass Media': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Sophia College for Women, Mumbai","Sophia College for Women was founded in 1940. It is affiliated to the University of Mumbai. The college offers undergraduate courses in B.A, B.SC and BMM and B.Sc IT. It also offers a postgraduate course in M.Sc and diploma courses in Diploma in Clinical analysis - DCA and PG - Diploma in Quality Assurance in the Foods/Pharmaceuticals Industry (Q.A).",,"{'M.Sc Chemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc Life Science': {'duration': '2 Years', 'fees': None}, 'M.Sc Microbiology': {'duration': '2 Years', 'fees': None}, 'M.Sc Biochemistry': {'duration': '2 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Sc Information Technology': {'duration': '3 Years', 'fees': None}, 'BA': {'duration': '3 Years', 'fees': None}, 'BMM': {'duration': '3 Years', 'fees': None}, 'PG Diploma in Clinical Analysis': {'duration': None, 'fees': None}, 'PG Diploma in Quality Assurance': {'duration': '1.5 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"St Xaviers College, Mumbai","St. Xavier's College, Mumbai, is an autonomous and co-educational college affiliated to the University of Mumbai. The college offers undergraduate and postgraduate degrees in Arts, Science, Commerce and Management. The college was founded by German Jesuits in 1869.",,"{'B.Sc': {'duration': '3 Years', 'fees': '20.51 K'}, 'BA': {'duration': '3 Years', 'fees': '16.57 K'}, 'B.Com': {'duration': '3 Years', 'fees': '16.57 K'}, 'B.Sc Information Technology': {'duration': '3 Years', 'fees': '1.38 Lakhs'}, 'BMM': {'duration': '3 Years', 'fees': '97.29 K'}, 'BMS': {'duration': '3 Years', 'fees': '92.38 K'}, 'MA Ancient Indian History, Culture and Archaeology': {'duration': '2 Years', 'fees': '43.21 K'}, 'Master of Public Policy': {'duration': '2 Years', 'fees': '1.50 Lakhs'}, 'Diploma in Bioinformatics': {'duration': None, 'fees': None}, 'M.Sc Big Data Analytics': {'duration': '2 Years', 'fees': '1.80 Lakhs'}, 'M.Sc Biotechnology': {'duration': '2 Years', 'fees': '1.36 Lakhs'}, 'MA Psychology': {'duration': '2 Years', 'fees': '1.84 Lakhs'}, 'PG Diploma in Counselling': {'duration': None, 'fees': None}, 'M.Sc Botany': {'duration': '2 Years', 'fees': '29.73 K'}, 'M.Sc Geology': {'duration': '2 Years', 'fees': '29.73 K'}, 'M.Sc Life Science': {'duration': '2 Years', 'fees': '29.73 K'}, 'M.Sc Microbiology': {'duration': '2 Years', 'fees': '29.73 K'}, 'M.Sc Physics': {'duration': '2 Years', 'fees': None}, 'PG Diploma in Expressive Arts Therapy': {'duration': None, 'fees': '2.12 Lakhs'}}","{'averagePackage': {'B.M.S': {'2019': '400000', '2018': '400000', '2017': '350000'}, 'M.A.': {'2019': '450000', '2018': '360000', '2017': '125000'}}, 'topRecruiters': {}}",{'Degree Colleges': '90th'},
"Farook College, Kozhikode","Farook College, Kozhikode was established in 1948 under the Government of Kerala. The college offers 20 undergraduate and 15 postgraduate programmes related to different subjects. The college is approved by the University Grants Commission (UGC). Farook College, Kozhikode received the status of an autonomous college in 2015. The college is affiliated to  University of Calicut, Malappuram.",,"{'B.Com Computer Application Self Financed': {'duration': '3 Years', 'fees': '67.50 K'}, 'B.Com Finance': {'duration': '3 Years', 'fees': '3.92 K'}, 'BA Arabic and Islamic History': {'duration': '3 Years', 'fees': '3.92 K'}, 'BA Economics': {'duration': '3 Years', 'fees': '3.92 K'}, 'BA Sociology': {'duration': '3 Years', 'fees': '3.92 K'}, 'BA Multimedia Communication': {'duration': '3 Years', 'fees': '3.92 K'}, 'BBA': {'duration': '3 Years', 'fees': '3.92 K'}, 'B.Sc Chemistry': {'duration': '3 Years', 'fees': '4.32 K'}, 'B.Sc Mathematics': {'duration': '3 Years', 'fees': '4.07 K'}, 'B.Sc Physics': {'duration': '3 Years', 'fees': '4.32 K'}, 'BA English Language and Literature': {'duration': '3 Years', 'fees': '3.92 K'}, 'BA Functional English Self Finance': {'duration': '3 Years', 'fees': '67.50 K'}, 'BA Malayalam': {'duration': '3 Years', 'fees': '3.92 K'}, 'B.Sc Botany': {'duration': '3 Years', 'fees': '4.47 K'}, 'B.Sc Computer Science': {'duration': '3 Years', 'fees': '14.20 K'}, 'B.Sc Psychology Self Financed': {'duration': '3 Years', 'fees': '67.50 K'}, 'B.Sc Statistics': {'duration': '3 Years', 'fees': '4.47 K'}, 'B.Sc Zoology': {'duration': '3 Years', 'fees': '4.47 K'}, 'BA Multimedia': {'duration': '3 Years', 'fees': '14.20 K'}, 'M.Com': {'duration': '2 Years', 'fees': '4.50 K'}, 'M.Lib.I.Sc': {'duration': None, 'fees': '2.69 K'}, 'M.Sc Mathematics': {'duration': '2 Years', 'fees': '4.50 K'}, 'MA Arabic': {'duration': '2 Years', 'fees': '4.50 K'}, 'MA Economics': {'duration': '2 Years', 'fees': '4.50 K'}, 'MA English': {'duration': '2 Years', 'fees': '4.50 K'}, 'MA History': {'duration': '2 Years', 'fees': '4.50 K'}, 'B.Lib.I.Sc': {'duration': None, 'fees': '2.12 K'}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': '5.70 K'}, 'M.Sc Computer Science': {'duration': '2 Years', 'fees': '5.70 K'}, 'M.Sc Physics': {'duration': '2 Years', 'fees': '5.70 K'}}","{'averagePackage': {'B.B.A': {'2019': '240000', '2018': '270000'}, 'M.Lib.I.Sc.': {'2019': '220000', '2018': '185000'}, 'M.A.': {'2019': '310000', '2018': '290000'}}, 'topRecruiters': {}}",{'Degree Colleges': '88th'},
"Bhavan's College, Mumbai","Bhavan's College, Mumbai was established in the year 1946 by Kulapati Dr. K.M.Munshiji. The campus spreads over 45 acres of land. The college is recognised by the University Grants Commission (UGC). Bhavan's College offers undergraduate (BA, B.Sc., B.Com.), postgraduate (M.Sc.) and doctoral (Ph.D.) courses in various areas. The college is affiliated to the University of Mumbai.",,"{'B.Com': {'duration': '3 Years', 'fees': '16.51 K'}, 'B.Sc': {'duration': '3 Years', 'fees': '19.36 K'}, 'B.Sc Biotechnology Self Finance': {'duration': '3 Years', 'fees': None}, 'B.Sc Computer Science Self Finance': {'duration': '3 Years', 'fees': '90.36 K'}, 'B.Sc Information Technology Self Finance': {'duration': '3 Years', 'fees': '77.28 K'}, 'BA': {'duration': '3 Years', 'fees': '16.51 K'}, 'BMM Self Finance': {'duration': '3 Years', 'fees': '52.20 K'}, 'BMS Self Finance': {'duration': '3 Years', 'fees': '52.01 K'}, 'M.Sc Biodiversity Wildlife Conservation and Management Self Finance': {'duration': '2 Years', 'fees': '21.30 K'}, 'M.Sc Botany': {'duration': '2 Years', 'fees': '21.35 K'}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': '21.35 K'}, 'M.Sc Microbiology': {'duration': '2 Years', 'fees': '21.35 K'}, 'M.Sc Physics': {'duration': '2 Years', 'fees': '21.35 K'}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': '21.35 K'}, 'Ph.D Botany': {'duration': '6 Years', 'fees': None}, 'Ph.D Chemistry': {'duration': '6 Years', 'fees': None}, 'Ph.D Microbiology': {'duration': '6 Years', 'fees': None}, 'Ph.D Zoology': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Utkal University, Bhubaneswar",None,,"{'BA': {'duration': '3 Years', 'fees': None}, 'B.Com Hons': {'duration': '3 Years', 'fees': None}, 'B.A': {'duration': '3 Years', 'fees': None}, 'MBBS': {'duration': '5.5 Years', 'fees': '1.13 Lakhs'}, 'LLB': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Ed': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
